#{"t_start": 1754444974.287548, "env_id": "None"}
r,l,t
-32.992283,7,2.075929
-36.811775,6,2.075929
-34.890823,7,2.082941
-28.867838,6,2.084903
-36.59124,6,2.086898
-33.323196,6,2.086898
-29.54786,7,2.087928
-34.89781,6,2.0901
-31.076643,7,2.0901
-35.181732,7,2.092061
-34.854416,7,2.099044
-35.829285,6,2.10207
-34.898197,7,2.10207
-30.096167,7,2.10403
-30.016079,6,2.10403
-38.69701,7,2.10903
-35.921356,8,2.10903
-35.596912,10,2.111024
-31.5344,7,2.117009
-34.461426,7,2.120034
-35.642517,7,2.120034
-35.508278,6,2.120034
-34.079308,7,2.121996
-36.5379,6,2.12399
-35.28066,6,2.12502
-34.69799,6,2.126982
-20.100227,5,2.131701
-37.254627,7,2.133696
-32.34328,7,2.136723
-35.270203,7,2.136723
-37.084854,7,2.138683
-38.708477,7,2.140677
-33.198635,7,2.140677
-35.710987,6,2.147659
-36.20886,7,2.147659
-36.220867,10,2.150651
-30.540064,6,2.153642
-37.610382,8,2.155637
-39.712437,6,2.155637
-30.565985,7,2.158662
-37.47062,10,2.160624
-35.052986,6,2.163651
-38.767914,6,2.163651
-33.61123,6,2.168602
-36.387497,7,2.168602
-36.25737,6,2.170597
-31.107615,7,2.173622
-29.451715,7,2.175584
-36.516285,7,2.178609
-27.154392,7,2.180572
-34.86298,7,2.180572
-36.25721,6,2.182565
-30.688086,7,2.185558
-35.11992,6,2.185558
-33.62442,6,2.187552
-36.917202,6,2.190544
-33.221905,7,2.195565
-39.37338,6,2.195565
-36.077324,6,2.195565
-36.543987,6,2.197525
-35.854134,6,2.200517
-32.75535,7,2.202513
-27.99003,7,2.205536
-37.052826,6,2.205536
-36.54266,6,2.209493
-23.845068,7,2.212519
-30.369284,7,2.212519
-34.62937,7,2.21551
-30.368435,6,2.21551
-29.207708,6,2.219467
-40.91683,7,2.222491
-28.017565,8,2.222491
-38.659637,6,2.224488
-34.94506,5,2.226448
-34.290627,6,2.226448
-29.002077,7,2.229033
-33.529297,7,2.232058
-30.16812,6,2.234052
-38.229748,6,2.236014
-36.357197,6,2.236014
-30.014069,7,2.241034
-26.514147,7,2.242996
-34.4009,7,2.246021
-35.263874,8,2.246021
-37.085915,6,2.24913
-37.73581,6,2.251698
-35.131065,8,2.251698
-33.47944,7,2.25366
-33.92137,6,2.255654
-32.695675,6,2.258679
-37.98093,6,2.260642
-42.833862,7,2.262636
-38.680115,6,2.26566
-31.02633,7,2.26566
-32.9465,7,2.268657
-27.925093,7,2.271177
-35.35511,7,2.273137
-31.37074,7,2.276161
-36.391426,6,2.276161
-33.262577,6,2.280118
-34.605484,6,2.280118
-41.101704,6,2.283143
-34.898945,6,2.285137
-31.187204,6,2.287099
-30.673054,7,2.292087
-36.831783,7,2.292087
-31.914484,6,2.295113
-31.844587,6,2.295113
-36.785324,6,2.29907
-36.67608,7,2.304088
-69.64434,18,2.307081
-37.568962,6,2.307081
-34.173706,7,2.309042
-29.073095,6,2.309042
-34.494694,7,2.311037
-42.910294,6,2.314061
-37.616966,6,2.318018
-39.675137,6,2.321043
-39.812244,6,2.321043
-46.94839,18,2.32603
-31.315163,8,2.328912
-37.051544,7,2.331125
-26.778315,8,2.331125
-34.644073,6,2.333119
-31.939018,6,2.336144
-42.549206,11,2.336144
-31.37977,6,2.336144
-24.231476,6,2.3401
-28.518164,6,2.343125
-33.494278,6,2.345087
-32.32471,8,2.349603
-34.723576,6,2.349603
-33.61865,7,2.349603
-31.11141,6,2.349603
-31.293411,7,2.352631
-35.9603,6,2.354592
-33.69104,6,2.35762
-37.744534,6,2.359578
-31.124863,6,2.364597
-34.794888,6,2.364597
-35.81951,6,2.364597
-32.149563,7,2.36656
-28.838394,7,2.369003
-35.832043,6,2.370997
-36.272343,7,2.372031
-37.251137,6,2.37399
-37.541615,6,2.377979
-31.612104,7,2.381005
-30.670027,7,2.381005
-35.540546,6,2.382966
-27.859447,7,2.382966
-38.345222,6,2.385958
-29.014858,6,2.385958
-22.124504,7,2.390115
-37.19434,6,2.393141
-34.46374,6,2.395103
-38.15697,6,2.397097
-38.82402,7,2.397097
-21.03952,5,2.397097
-34.326603,7,2.400122
-29.957745,6,2.400122
-35.59405,6,2.405109
-38.725998,6,2.407123
-37.25798,7,2.412116
-36.52371,6,2.412116
-28.736677,6,2.412116
-36.44624,6,2.412116
-42.948433,7,2.416071
-26.869017,8,2.419097
-34.68897,6,2.419097
-35.41276,7,2.423053
-32.2444,6,2.426078
-36.278774,7,2.42892
-35.26253,7,2.42892
-38.102184,7,2.429095
-34.76195,5,2.431148
-34.929592,6,2.43311
-36.407528,7,2.43311
-30.114944,6,2.438097
-35.194557,6,2.440091
-38.51873,6,2.442086
-27.391144,7,2.445079
-24.162947,7,2.445079
-35.121548,7,2.450634
-32.854893,6,2.452628
-39.93805,6,2.455621
-30.660141,11,2.457615
-37.880238,6,2.457615
-39.048996,11,2.460607
-32.587315,7,2.463599
-34.005684,6,2.465594
-33.531284,6,2.469031
-31.22951,5,2.471028
-34.362545,6,2.472023
-37.228527,6,2.474018
-33.61959,6,2.479005
-32.97649,8,2.481
-31.085897,15,2.483991
-36.859325,6,2.483991
-33.827873,7,2.483991
-35.717373,6,2.487009
-27.267704,7,2.490092
-33.55126,7,2.492087
-29.462116,7,2.497073
-34.53864,7,2.500066
-34.28557,6,2.500066
-34.849674,6,2.500066
-32.627388,6,2.503057
-30.459673,7,2.503057
-34.501816,6,2.508044
-27.361946,7,2.508044
-32.148643,7,2.516211
-34.28329,7,2.520199
-34.583324,7,2.520199
-36.591393,7,2.520199
-36.9891,5,2.523191
-34.817234,7,2.523191
-34.53435,7,2.523191
-27.24208,6,2.526185
-29.727583,7,2.537128
-33.739967,6,2.537128
-33.66216,6,2.537128
-38.379925,6,2.540119
-33.990944,7,2.540119
-31.531084,7,2.543112
-40.438236,7,2.543112
-31.149672,6,2.543112
-25.881662,6,2.553662
-33.535473,7,2.556621
-38.496655,6,2.556621
-28.833044,7,2.556621
-32.097218,6,2.558616
-30.261677,6,2.558616
-27.776724,7,2.558616
-32.637096,6,2.558616
-33.864212,5,2.570469
-37.14624,6,2.570469
-38.35164,6,2.573462
-36.268097,6,2.576452
-32.456635,6,2.576452
