#{"t_start": 1754489820.6862004, "env_id": "None"}
r,l,t
-1438.9689,59,3.634569
-13.257959,24,3.6456
-1540.8431,67,3.649605
-212.2654,30,3.649605
-1942.2432,72,3.654117
-13.12026,26,3.655117
-109.92154,29,3.665488
-113.85783,27,3.674
-14.174164,23,3.679003
-14.5662365,23,3.688509
-110.17151,29,3.691013
-15.278486,30,3.693021
-13.084196,24,3.726533
-256.1132,32,3.729534
-1889.118,69,3.731045
-60.136543,26,3.733057
-13.747717,25,3.733057
-14.232307,24,3.769458
-1781.1072,70,3.77501
-63.22744,28,3.778001
-2633.3489,83,3.783395
-1843.9191,71,3.786393
-108.169075,26,3.810776
-1048.34,54,3.815798
-16.013895,29,3.821294
-162.09576,31,3.835827
-14.2583,26,3.853028
-2640.9656,84,3.861029
-356.969,35,3.876087
-1443.8291,62,3.876087
-3035.8164,91,3.878086
-1547.9316,61,3.879097
-15.866213,24,3.889472
-63.094124,27,3.900998
-1939.4207,74,3.933312
-113.48399,30,3.938831
-15.404095,22,3.938831
-2288.8477,76,3.955876
-14.507111,24,3.971908
-111.7136,26,3.979909
-64.76467,25,3.9964
-2633.7803,82,4.008337
-2683.606,83,4.009348
-2640.1335,82,4.009348
-16.752537,26,4.013869
-2831.1323,85,4.015952
-1847.7427,67,4.046017
-61.75154,28,4.05153
-59.654015,28,4.052541
-115.41408,29,4.054537
-110.412994,27,4.055542
-12.276704,30,4.062082
-1089.411,55,4.066081
-14.158415,26,4.08268
-14.485752,24,4.085685
-11.21404,24,4.089686
-62.896538,26,4.089686
-13.115851,25,4.098216
-62.85992,24,4.100722
-2739.8745,83,4.121389
-111.979836,23,4.124392
-206.81116,31,4.129392
-996.1282,52,4.130898
-15.384971,24,4.133906
-15.30763,23,4.135912
-59.257492,30,4.135912
-58.279648,28,4.16599
-110.68064,32,4.168987
-112.01148,25,4.170987
-59.01334,29,4.174514
-1288.5508,60,4.175506
-163.49753,29,4.178505
-111.753555,30,4.179514
-14.466039,21,4.20211
-12.184496,26,4.206117
-63.98391,25,4.21263
-10.171828,28,4.213628
-60.73961,26,4.215628
-13.104753,24,4.216633
-15.093879,28,4.244702
-2486.425,77,4.246702
-62.685883,26,4.256355
-62.168087,25,4.259356
-60.83194,30,4.264004
-157.69215,28,4.265004
-1594.364,65,4.295759
-13.075323,22,4.313631
-12.744171,24,4.314634
-110.30537,29,4.323596
-1491.4528,70,4.3547
-107.93383,29,4.373005
-13.035989,25,4.386151
-1331.751,60,4.395676
-13.298269,23,4.42089
-157.7329,29,4.42089
-1544.4343,66,4.421898
-2437.5977,81,4.43543
-13.898865,24,4.461505
-62.38827,26,4.465515
-60.2482,26,4.481036
-2540.488,81,4.489336
-2436.041,81,4.497173
-12.957678,21,4.506699
-13.222128,28,4.51726
-11.852274,25,4.530782
-13.7870865,25,4.539795
-1639.1329,66,4.546164
-2930.2322,87,4.550164
-2632.0654,84,4.551171
-63.941086,27,4.559419
-60.624325,27,4.569942
-13.920839,25,4.579284
-13.995382,23,4.590804
-61.2959,29,4.594945
-14.240448,25,4.597944
-111.564064,27,4.603468
-14.217266,24,4.605466
-1544.2954,60,4.611981
-210.37088,33,4.631189
-112.32174,29,4.633609
-16.387918,22,4.638113
-61.66365,26,4.638113
-66.62484,24,4.648648
-159.28175,30,4.648648
-15.485491,27,4.652178
-112.94074,28,4.661682
-14.572842,25,4.67221
-13.663147,22,4.673213
-64.98911,26,4.675214
-15.298539,23,4.684729
-308.0955,36,4.695897
-12.832495,24,4.698899
-112.695984,29,4.716933
-161.07124,28,4.718927
-13.59453,24,4.732965
-256.83826,32,4.733973
-1738.8267,67,4.753468
-12.044404,25,4.758468
-61.115215,26,4.758468
-992.86584,63,4.773533
-2441.118,77,4.773533
-10.5627365,30,4.785061
-358.9922,33,4.788058
-109.35224,27,4.826135
-254.4286,33,4.846203
-2826.7292,90,4.853647
-253.57382,35,4.888196
-1992.1655,71,4.888196
-61.18952,29,4.898355
-13.422,26,4.900861
-2587.5781,82,4.902871
-2640.9543,80,4.904872
-2286.7087,76,4.91325
-1692.2833,73,4.92276
-110.11055,26,4.934806
-12.329225,25,4.944844
-108.07975,29,4.953371
-163.42722,30,4.973423
-12.8690405,25,4.977421
-111.70849,26,4.989939
-994.48804,59,4.992095
-1185.2974,56,5.011089
-61.664787,24,5.018107
-16.123913,26,5.025632
-61.470543,27,5.040933
-2736.454,83,5.052966
-2887.5217,90,5.05997
-211.32234,29,5.064479
-1329.7732,63,5.066478
-12.46305,26,5.070984
-260.67117,34,5.077997
-13.117775,24,5.082162
-13.117127,25,5.09569
-1496.4443,60,5.099693
-13.220319,23,5.107213
-66.14892,27,5.107213
-64.44448,24,5.114566
-110.658005,32,5.13624
-14.465873,26,5.142471
-60.607613,26,5.146475
-12.189587,25,5.150982
-63.03322,28,5.163511
-1096.9525,62,16.976824
-2390.1912,77,16.984134
-111.59813,26,16.991138
-798.6314,50,17.008721
-2336.4648,75,17.018061
-63.351067,24,17.02106
-1089.5516,59,17.026595
-61.155,29,17.036113
-2240.2542,74,17.040111
-14.79282,28,17.053518
-2383.3662,76,17.057522
-15.31355,25,17.059516
-59.138477,28,17.06903
-109.24617,29,17.080172
-14.251232,23,17.094773
-15.327567,27,17.098773
-2587.6272,81,17.100775
-1096.2084,56,17.104305
-254.33287,35,17.107305
-62.21137,25,17.108308
-208.88339,30,17.127039
-14.528423,24,17.136132
-110.62435,30,17.141132
-61.58569,28,17.147651
-15.488646,26,17.149159
-12.062734,28,17.151168
-208.65558,33,17.152686
-2930.6472,87,17.175281
-14.68923,29,17.18182
-10.67665,27,17.182838
-64.78733,22,17.182838
-15.577124,28,17.189829
-62.034973,28,17.193341
-63.08308,28,17.19435
-693.60486,56,17.212931
-60.51252,27,17.223452
-109.9052,27,17.231167
-64.321915,30,17.239176
-11.5402975,26,17.265265
-893.3152,63,17.272793
-61.671257,28,17.276784
-13.939834,23,17.276784
-1840.1042,69,17.307204
-162.62857,28,17.312736
-2533.959,81,17.312736
-2537.6775,83,17.315178
-14.401419,23,17.317188
-1589.6123,69,17.326701
-60.076023,30,17.327701
-116.650444,26,17.347733
-11.886296,27,17.356848
-113.87891,28,17.358848
-894.36566,56,17.365975
-10.797338,26,17.366979
-255.58022,34,17.382045
-63.515327,27,17.392087
-63.56417,30,17.406622
-1094.9508,58,17.408622
-59.704132,29,17.413157
-112.81768,30,17.416157
-12.50087,26,17.4342
-253.40298,33,17.4362
-2638.596,80,17.445735
-14.419087,24,17.445735
-109.87543,27,17.455844
-109.43469,30,17.455844
-13.188607,26,17.458083
-12.767243,26,17.47604
-13.802587,26,17.478041
-157.32043,30,17.4931
-11.868458,24,17.494109
-10.2619095,25,17.497105
-2980.8665,90,17.5001
-109.206314,29,17.520135
-9.834627,30,17.523588
-13.029969,23,17.528588
-12.096649,25,17.533121
-13.944751,24,17.538357
-62.98692,27,17.539364
-111.31638,27,17.569613
-2291.9412,75,17.574045
-14.662834,24,17.576029
-2930.8435,90,17.586553
-698.4528,49,17.617111
-11.500208,28,17.621108
-208.75381,32,17.625626
-60.479153,26,17.628933
-1593.3589,68,17.628933
-1995.8055,67,17.639465
-2389.6262,74,17.640971
-797.2922,55,17.658373
-10.86385,26,17.66191
-12.918492,28,17.66191
-356.19354,33,17.679429
-113.03225,30,17.687015
-306.11313,35,17.693532
-61.06135,27,17.702045
-62.162537,30,17.706052
-14.2832575,26,17.726104
-60.79467,24,17.729105
-62.93412,26,17.746344
-208.5218,29,17.746344
-2734.489,83,17.751861
-2682.2996,85,17.757862
-14.483288,25,17.766382
-60.678215,29,17.769384
-2287.6116,77,17.773897
-15.441936,26,17.784127
-12.424215,27,17.786128
-61.972164,28,17.792636
-15.138963,26,17.804171
-161.29474,26,17.80717
-14.555557,25,17.811185
-3127.7039,96,17.82337
-11.73753,26,17.825757
-159.61389,27,17.825757
-896.4944,54,17.839756
-111.35816,31,17.841975
-12.145737,25,17.844319
-59.380436,28,17.856006
-159.24681,29,17.871052
-61.27889,29,17.87207
-13.277411,25,17.897593
-1196.9293,56,17.89959
-61.23377,26,17.91304
-111.83722,29,17.92005
-1191.6202,62,17.945597
-162.45259,30,17.947593
-2487.1077,80,17.955133
-1886.2439,72,17.956138
-2287.6323,79,17.968646
-13.871544,23,17.98116
-15.763896,25,17.994201
-1140.5731,62,17.995199
-9.411668,27,17.998199
-1491.9183,61,18.009072
-108.57567,28,18.012583
-105.83078,30,18.027114
-1840.6749,69,18.027114
-14.583027,25,18.032334
-13.854417,24,18.036333
-60.920628,32,18.045869
-12.33183,24,18.046874
-112.33542,26,18.052897
-14.03509,26,18.068424
-14.057358,26,18.068424
-2440.3284,79,18.069433
-13.674045,24,18.089483
-112.332535,29,18.090989
-13.424442,26,18.108031
-62.312817,28,18.111553
-109.935745,30,18.11656
-848.5682,52,18.127085
-13.323429,23,18.128073
-64.034,28,18.135394
-15.41975,24,18.146933
-13.735752,26,18.153982
-2482.8816,80,18.157974
-12.679003,27,18.159969
-12.708026,26,18.167497
-61.324104,25,18.167497
-2877.2312,90,18.177023
-15.694347,26,18.187176
-13.189288,24,18.195301
-13.985996,24,18.203804
-258.00357,33,18.203804
-155.61586,31,18.214324
-11.935068,26,18.226844
-59.968376,28,18.247543
-2542.2651,81,18.260886
-258.36456,33,18.266895
-159.27458,28,18.271401
-1044.1749,57,18.284929
-1046.1307,56,18.292442
-12.690167,28,18.292442
-2835.6538,86,18.294439
-11.929023,26,18.302956
-2277.3274,81,18.304957
