#{"t_start": 1754459788.8921247, "env_id": "None"}
r,l,t
2040.6438,251,70.172043
1867.874,230,70.325627
1982.0253,251,70.557354
1947.6615,255,70.68884
1976.5846,245,71.174137
1458.472,205,71.189762
1434.9551,206,71.675485
2075.633,546,71.695582
1960.3221,253,71.813492
7136.4443,1000,71.891602
1196.9579,169,80.366201
1889.018,246,80.414669
6835.1147,1000,80.42674
2035.7308,246,80.608099
6459.284,1000,80.777548
1831.7943,222,80.936303
1951.3607,244,80.936303
2009.31,250,81.020919
1211.703,164,81.158907
827.88947,127,81.321665
1991.6772,245,81.511298
2042.4089,255,81.546806
1228.4645,161,81.660346
2062.8728,244,81.707247
988.40564,139,81.802395
1304.6163,168,81.876486
1603.3993,213,82.110273
6104.1123,1000,82.125893
2002.1832,252,82.223638
1905.6799,247,82.308354
1974.6106,239,82.624074
1917.9951,248,82.624074
1724.6222,219,82.693105
1322.5837,188,82.708694
2142.7195,1000,82.809032
1393.7998,203,83.141056
1892.4012,243,83.156676
1787.2402,230,83.210083
2037.6566,255,83.341357
1290.3536,178,83.579728
1582.7068,209,83.595354
2145.9492,282,83.74245
1535.7571,197,83.780267
6649.1646,1000,84.027653
1527.9062,209,84.058896
2125.7795,246,84.143578
1884.7571,233,84.259471
1258.0175,184,84.444328
1298.1208,187,84.482085
1407.536,195,93.12422
2023.4266,255,93.136279
6684.344,1000,93.274864
2097.3066,251,93.485418
1264.8518,166,93.532289
1186.0111,166,93.547941
966.5116,148,93.643276
1370.7123,182,94.046439
1793.0221,226,94.102284
1851.8228,246,94.280509
1311.8138,182,94.469469
6523.8438,1000,94.587343
2142.6956,253,94.665487
1315.2561,182,94.850405
2137.1877,255,95.151158
1898.7905,246,95.23578
2028.2728,1000,95.251434
1255.2261,164,95.589881
1392.966,198,95.768268
1977.7373,626,95.783858
2148.2725,277,95.990944
1929.9357,1000,96.006571
885.08,130,96.122432
1514.4973,209,96.153711
1277.5895,169,96.207121
1178.4069,180,96.62332
1657.9282,214,96.62332
2121.8408,263,96.62332
1723.6782,297,96.708004
2126.4116,256,96.739249
1303.746,178,97.148896
1365.0309,192,97.148896
1999.3429,241,97.180186
1979.5624,251,97.208857
7145.803,1000,97.309156
