#{"t_start": 1754448252.4088926, "env_id": "None"}
r,l,t
-49.463066,14,1.538224
-76.88596,24,1.568144
-62.22449,26,1.574126
-55.979076,27,1.577118
-85.88924,28,1.581108
-86.20222,29,1.585098
-34.484173,7,1.591081
-144.86806,31,1.591081
-110.849915,32,1.594073
-36.643383,7,1.60305
-69.96389,22,1.607038
-36.168118,7,1.607038
-37.191315,7,1.61402
-30.632177,8,1.617012
-43.061867,8,1.620005
-39.851406,7,1.626985
-38.88812,16,1.629977
-41.69826,17,1.629977
-37.411465,7,1.629977
-41.179672,7,1.629977
-38.256454,6,1.636959
-43.45786,7,1.636959
-36.90043,7,1.643941
-31.734526,6,1.649924
-42.945045,8,1.653913
-46.827328,7,1.653913
-45.809326,7,1.653913
-37.07697,7,1.6589
-32.683887,7,1.659897
-42.920128,7,1.664884
-33.680443,7,1.670868
-37.900944,7,1.67386
-38.732784,7,1.67386
-39.907703,7,1.67386
-43.703968,7,1.678847
-36.45927,16,1.678847
-38.249863,7,1.679844
-36.405476,7,1.684831
-35.02743,6,1.690814
-39.667435,7,1.690814
-31.693493,7,1.693806
-36.356655,7,1.693806
-52.262226,7,1.698793
-42.95719,7,1.698793
-43.000847,7,1.698793
-35.439888,7,1.70378
-31.642698,7,1.709763
-39.99424,7,1.709763
-41.467587,7,1.711759
-43.006145,7,1.711759
-36.315727,7,1.716745
-38.677917,7,1.716745
-32.61457,7,1.716745
-29.284702,7,1.721732
-36.362606,7,1.727716
-36.978218,7,1.727716
-36.53212,6,1.727716
-35.46183,7,1.730708
-33.829395,7,1.735694
-36.892895,7,1.735694
-37.685635,7,1.735694
-33.331196,6,1.737689
-36.747597,7,1.745668
-32.185837,7,1.745668
-37.26942,7,1.74866
-31.771255,8,1.74866
-36.37839,6,1.750654
-35.765965,7,1.753646
-36.928513,7,1.753646
-35.559685,7,1.756639
-36.86727,6,1.761625
-36.96722,7,1.764617
-38.522697,7,1.76761
-35.25088,7,1.76761
-34.016277,6,1.770601
-32.88222,7,1.770601
-46.471313,6,1.773593
-40.585613,7,1.773593
-30.778496,6,1.77858
-33.478573,7,1.784565
-36.476917,7,1.787556
-32.179184,7,1.787556
-38.02122,7,1.78955
-37.953323,7,1.78955
-41.873302,7,1.792542
-33.11695,7,1.792542
-31.022682,7,1.797529
-35.526966,6,1.803515
-36.516388,7,1.803515
-37.034973,8,1.8085
-36.116966,7,1.809497
-37.81381,7,1.809497
-30.538256,7,1.812489
-30.920155,7,1.812489
-35.97056,7,1.822462
-31.706182,7,1.822462
-36.1369,6,1.825454
-37.50021,6,1.825454
-36.241413,6,1.828447
-32.2426,6,1.828447
-41.383217,7,1.828447
-31.47205,6,1.838421
-37.053288,7,1.840415
-36.733498,6,1.841411
-36.79956,6,1.841411
-35.840237,6,1.844405
-35.739532,7,1.846398
-68.772606,19,1.849391
-32.94779,6,1.854377
-34.531715,6,1.857369
-36.29753,7,1.860362
-24.248756,7,1.860362
-37.680763,12,1.860362
