#{"t_start": 1754449492.0013282, "env_id": "None"}
r,l,t
55.397858,73,1.714143
126.802666,76,1.72212
60.89676,79,1.729101
143.86275,83,1.738077
58.57831,86,1.745091
144.81972,87,1.747053
152.00055,94,1.764008
68.57591,110,1.800393
-152.3867,76,1.897136
103.20356,83,1.906146
60.80652,81,1.931048
52.29385,88,1.941019
61.45333,94,1.945009
124.502655,99,1.973933
161.99088,81,1.985934
162.86868,116,2.028785
61.85418,72,2.061729
57.06732,76,2.113559
142.37325,98,2.129518
132.17087,89,2.133505
55.726654,74,2.143482
149.76749,87,2.143482
54.759613,67,2.182373
136.32945,101,2.216284
53.561615,79,2.241217
53.46037,65,2.283106
124.27816,83,2.320006
148.59688,91,2.322002
133.57452,82,2.330977
131.44005,105,2.383817
123.022484,74,2.412184
159.49326,100,2.412184
-163.12968,98,2.442104
136.58633,89,2.488015
55.789288,82,2.507927
132.36223,102,2.557527
58.6813,79,2.566773
151.4573,108,2.580971
130.06273,77,2.589949
-146.0195,84,2.605906
58.65134,73,2.61087
-162.89378,76,2.663731
-155.75984,74,2.679689
135.42117,75,2.72859
53.255764,67,2.733545
55.53199,83,2.756485
151.77838,84,2.798371
64.63461,69,2.820312
126.700516,102,2.823316
152.79387,95,2.827706
130.26427,89,2.881565
161.71225,83,2.918466
162.94612,83,2.923453
156.92699,84,2.989913
137.44269,102,2.989913
123.42421,73,2.989913
-154.50624,74,2.996895
135.6356,94,3.035636
53.964035,92,3.093481
133.32036,94,3.140596
60.498573,69,3.158244
122.7999,75,3.16423
-153.76067,76,3.167468
61.968834,88,3.195396
-157.01932,122,3.202379
130.4062,87,3.240309
57.058945,77,3.274185
51.976246,64,3.319065
55.778896,69,3.322091
54.036827,80,3.333028
110.655045,77,3.390874
135.45657,86,3.405834
134.7799,101,3.411817
144.90526,78,3.434756
132.56578,81,3.479636
49.148476,65,3.484622
44.256363,64,3.494597
-153.40936,80,3.525514
58.165237,68,3.563412
120.90523,72,3.587348
55.6686,67,3.602308
62.63078,76,3.602308
59.332314,69,3.656164
122.15272,85,3.692068
128.11485,92,3.727973
56.65413,63,3.749914
117.362915,111,3.807759
147.39047,95,3.845657
142.05675,114,3.852639
122.03397,102,3.86361
95.576744,64,3.912479
64.36755,106,3.929434
120.46164,93,3.931428
58.256783,74,3.995258
142.97438,111,4.011214
59.140118,70,4.032159
54.67665,92,4.081028
139.67488,70,4.091002
60.15746,77,4.128901
47.905567,61,4.151839
54.986275,76,4.206693
145.58472,108,4.206693
-153.6389,140,4.222649
138.53162,91,4.265535
59.489727,66,4.296453
169.27925,89,4.314404
140.7015,96,4.321386
58.574352,71,4.376238
125.144646,88,4.415147
135.1087,87,4.427116
61.63117,82,4.454044
-87.153755,131,4.465014
135.26227,83,4.484961
116.1615,77,4.495932
60.869408,64,4.520865
129.27826,104,4.549787
113.504974,75,4.5827
55.299988,78,4.628576
154.13324,90,4.628576
53.076176,69,4.650518
170.59607,95,4.677446
63.08976,84,4.70936
50.162254,60,4.718336
112.45902,79,4.727313
149.92302,146,4.813084
149.78593,90,4.832033
